Date;CASAGRC1;BBVAC1;GLORIA;
2018-08-24;3.8;4.1;7;
2018-08-27;3.79;4.11;7;
2018-08-28;3.79;4.15;7;
2018-08-29;3.9;4.07;7;
2018-08-31;3.9;4.1;7;
2018-09-03;3.9;4.2;7;
2018-09-04;3.9;4.24;7;
2018-09-05;3.7;4.1;7;
2018-09-06;3.7;4.16;7;
2018-09-07;3.6;4.14;7;
2018-09-10;3.7;4.16;7;
2018-09-11;3.8;4.16;7;
2018-09-12;3.9;4.16;7;
2018-09-13;3.9;4.12;7;
2018-09-14;3.6;4.09;7;
2018-09-17;3.65;4.05;7;
2018-09-18;3.65;4;7;
2018-09-19;3.65;4;7;
2018-09-20;3.9;4;7;
2018-09-21;3.8;4.05;7;
2018-09-24;3.8;4.05;7;
2018-09-25;3.8;4;7;
2018-09-26;3.9;3.97;7;
2018-09-27;3.9;3.97;7;
2018-09-28;3.85;3.98;7;
2018-10-01;3.85;3.98;7;
2018-10-02;4;3.98;7;
2018-10-03;4;3.99;7;
2018-10-04;4.15;3.98;7;
2018-10-05;4.15;3.98;7;
2018-10-09;4;3.98;7;
2018-10-10;4;3.93;7;
2018-10-11;3.9;3.95;7;
2018-10-12;3.9;3.95;7;
2018-10-15;4;3.95;7;
2018-10-16;4;3.98;7;
2018-10-17;4;3.98;7.08;
2018-10-18;3.95;3.98;7;
2018-10-19;3.93;3.98;7;
2018-10-22;3.75;3.99;7;
2018-10-23;3.79;4.04;7;
2018-10-24;3.75;4.05;7;
2018-10-25;3.75;4.07;7;
2018-10-26;3.75;4;7;
2018-10-29;3.75;3.99;7;
2018-10-30;3.85;3.99;7;
2018-10-31;3.85;3.98;7;
2018-11-02;3.85;3.96;7;
2018-11-05;3.8;3.98;7;
2018-11-06;3.8;3.95;7;
2018-11-07;3.9;3.88;7;
2018-11-08;3.9;3.86;7;
2018-11-09;3.9;3.85;7;
2018-11-12;3.9;3.8;7;
2018-11-13;3.9;3.75;7;
2018-11-14;3.89;3.68;7;
2018-11-15;3.9;3.67;7;
2018-11-16;3.95;3.95;7;
2018-11-19;4;3.89;6.9;
2018-11-20;4;3.85;6.9;
2018-11-21;4;3.7;6.9;
2018-11-22;4.1;3.7;6.9;
2018-11-23;4;3.8;6.9;
2018-11-26;4;3.83;6.9;
2018-11-27;4.1;3.85;6.9;
2018-11-28;4;3.84;6.9;
2018-11-29;4.1;3.9;6.9;
2018-11-30;4.09;3.91;6.9;
2018-12-03;4.08;3.91;6.9;
2018-12-04;4.08;3.9;6.9;
2018-12-05;4.08;3.9;6.9;
2018-12-06;4.08;3.9;6.9;
2018-12-07;4;3.9;6.9;
2018-12-10;4;3.95;6.9;
2018-12-11;4;3.91;6.9;
2018-12-12;4;3.9;6.9;
2018-12-13;4;3.95;6.9;
2018-12-14;3.95;3.95;6.9;
2018-12-17;3.94;3.95;6.9;
2018-12-18;3.93;3.95;6.9;
2018-12-19;3.92;3.95;6.9;
2018-12-20;3.92;3.95;6.9;
2018-12-21;3.8;3.95;6.9;
2018-12-24;3.7;3.87;6.9;
2018-12-26;3.8;3.87;6.9;
2018-12-27;3.9;3.87;6.9;
2018-12-28;4.06;3.9;6.9;
2018-12-31;4.06;3.95;6.9;
2019-01-02;4.06;3.95;6.9;
2019-01-03;4.06;3.9;6.9;
2019-01-04;4.06;3.85;6.9;
2019-01-07;4.06;3.85;6.9;
2019-01-08;4.11;3.75;6.9;
2019-01-09;4.11;3.7;6.9;
2019-01-10;4.11;3.8;6.9;
2019-01-11;4.11;3.85;6.9;
2019-01-14;4.11;3.8;6.9;
2019-01-15;4.11;3.8;6.9;
2019-01-16;4.1;3.82;6.9;
2019-01-17;4.1;3.82;6.9;
2019-01-18;4.11;3.85;6.9;
2019-01-21;4.1;3.8;6.9;
2019-01-22;4.1;3.8;6.9;
2019-01-23;4.09;3.8;6.9;
2019-01-24;3.99;3.8;6.9;
2019-01-25;3.95;3.82;6.9;
2019-01-28;3.95;3.82;6.9;
2019-01-29;3.95;3.8;6.9;
2019-01-30;4;3.8;6.9;
2019-01-31;4;3.8;6.9;
2019-02-01;4.1;3.85;6.9;
2019-02-04;4;3.9;6.9;
2019-02-05;4;3.88;6.9;
2019-02-06;4;3.88;6.9;
2019-02-07;4;3.9;6.9;
2019-02-08;4;3.95;6.9;
2019-02-11;3.99;3.95;6.9;
2019-02-12;3.98;3.89;6.9;
2019-02-13;4;3.89;6.9;
2019-02-14;3.99;3.89;6.9;
2019-02-15;4;3.8;6.9;
2019-02-18;3.95;3.81;6.9;
2019-02-19;3.95;3.8;6.9;
2019-02-20;3.94;3.8;6.9;
2019-02-21;3.95;3.8;6.9;
2019-02-22;3.93;3.8;6.9;
2019-02-25;3.92;3.8;6.9;
2019-02-26;3.92;3.72;6.9;
2019-02-27;3.93;3.72;6.9;
2019-02-28;3.95;3.74;6.9;
2019-03-01;4;3.88;6.9;
2019-03-04;4;3.9;6.9;
2019-03-05;4;3.9;6.9;
2019-03-06;4;3.95;6.9;
2019-03-07;3.98;3.9;6.9;
2019-03-08;4;3.94;6.9;
2019-03-11;3.98;3.9;6.9;
2019-03-12;3.99;3.86;6.9;
2019-03-13;3.98;3.89;6.9;
2019-03-14;3.95;3.9;6.9;
2019-03-15;3.99;3.9;6.9;
2019-03-18;3.99;3.94;6.9;
2019-03-19;3.99;4;6.9;
2019-03-20;3.99;4.04;6.9;
2019-03-21;4;3.98;6.9;
2019-03-22;4;3.99;6.9;
2019-03-25;4.02;3.98;6.9;
2019-03-26;3.99;3.99;6.9;
2019-03-27;3.95;4;6.9;
2019-03-28;3.96;3.99;6.9;
2019-03-29;4;3.99;6.9;
2019-04-01;3.99;3.99;6.9;
2019-04-02;3.94;3.95;6.9;
2019-04-03;3.99;3.85;6.5;
2019-04-04;3.99;3.9;6.5;
2019-04-05;4;4;6.5;
2019-04-08;3.99;4.1;6.5;
2019-04-09;4;4.13;6.5;
2019-04-10;4;4.1;6.5;
2019-04-11;4;4.1;6.5;
2019-04-12;4;3.94;6.14;
2019-04-15;3.95;3.94;6.14;
2019-04-16;3.95;3.9;6.14;
2019-04-17;3.94;3.86;6.14;
2019-04-22;3.93;3.9;6.14;
2019-04-23;3.93;3.9;6.14;
2019-04-24;3.93;3.88;6.14;
2019-04-25;3.93;3.8;6.14;
2019-04-26;3.93;3.86;6.14;
2019-04-29;3.92;3.9;6.14;
2019-04-30;3.9;3.9;6.14;
2019-05-02;3.65;3.82;6.14;
2019-05-03;3.45;3.83;6.14;
2019-05-06;3.4;3.86;6.14;
2019-05-07;3.65;3.9;6.14;
2019-05-08;3.65;3.86;6.14;
2019-05-09;3.64;3.86;6.14;
2019-05-10;3.59;3.8;6.14;
2019-05-13;3.57;3.8;6.14;
2019-05-14;3.48;3.79;6.14;
2019-05-15;3.43;3.7;6.14;
2019-05-16;3.43;3.75;6.14;
2019-05-17;3.43;3.7;6.14;
2019-05-20;3.4;3.65;6.14;
2019-05-21;3.4;3.6;6.14;
2019-05-22;3.4;3.69;6.14;
2019-05-23;3.38;3.64;6.14;
2019-05-24;3.37;3.68;6.14;
2019-05-27;3.37;3.66;6.14;
2019-05-28;3.38;3.66;6.14;
2019-05-29;3.37;3.66;6.14;
2019-05-30;3.37;3.66;6.14;
2019-05-31;3.25;3.64;6.13;
2019-06-03;3.25;3.64;6.13;
2019-06-04;3.25;3.7;6.13;
2019-06-05;3.05;3.7;6.13;
2019-06-06;3.25;3.7;6.13;
2019-06-07;3.25;3.7;6.13;
2019-06-10;3.3;3.7;6.13;
2019-06-11;3.3;3.7;6.13;
2019-06-12;3.4;3.65;6.13;
2019-06-13;3.39;3.7;6.13;
2019-06-14;3.38;3.72;6.13;
2019-06-17;3.37;3.7;6.13;
2019-06-18;3.37;3.7;6.13;
2019-06-19;3.34;3.7;6.13;
2019-06-20;3.35;3.7;6.13;
2019-06-21;3.36;3.75;6.13;
2019-06-24;3.36;3.8;6.13;
2019-06-25;3.36;3.8;6.13;
2019-06-26;3.34;3.78;6.13;
2019-06-27;3.29;3.72;6.13;
2019-06-28;3.3;3.78;6.13;
2019-07-01;3.3;3.74;6.13;
2019-07-02;3.31;3.74;6.13;
2019-07-03;3.31;3.73;6;
2019-07-04;3.29;3.42;6;
2019-07-05;3.29;3.42;6;
2019-07-08;3.31;3.42;6;
2019-07-09;3.3;3.4;6;
2019-07-10;3.31;3.35;6;
2019-07-11;3.3;3.38;6;
2019-07-12;3.3;3.31;6;
2019-07-15;3.3;3.42;6;
2019-07-16;3.24;3.4;6;
2019-07-17;3.24;3.49;6;
2019-07-18;3.24;3.44;6;
2019-07-19;3.24;3.4;6;
2019-07-22;3.34;3.41;6;
2019-07-23;3.38;3.42;5.79;
2019-07-24;3.37;3.41;5.79;
2019-07-25;3.37;3.4;5.79;
2019-07-26;3.3;3.4;5.79;
2019-07-30;3.3;3.4;5.79;
2019-07-31;3.3;3.4;5.79;
2019-08-01;3.29;3.33;5.79;
2019-08-02;3.29;3.27;5.79;
2019-08-05;3.29;3.23;5.5;
2019-08-06;3.27;3.22;5.5;
2019-08-07;3.25;3.3;5.5;
2019-08-08;3.25;3.3;5.5;
2019-08-09;3.25;3.27;5.5;
2019-08-12;3.25;3.26;5.5;
2019-08-13;3.25;3.26;5.5;
2019-08-14;3.25;3.26;5.5;
2019-08-15;3.25;3.22;5.5;
2019-08-16;3.25;3.23;5.5;
2019-08-19;3.25;3.23;5.5;
2019-08-20;3.24;3.25;5.5;
2019-08-21;3.23;3.22;5.5;
2019-08-22;3.18;3.22;5.5;
2019-08-23;3.17;3.22;5.5;
2019-08-26;3.17;3.22;5.5;
2019-08-27;3.16;3.25;5.5;
2019-08-28;3.16;3.25;5.5;
2019-08-29;3.16;3.24;5.5;
2019-09-02;3.16;3.25;5.5;
2019-09-03;3.16;3.23;5.5;
2019-09-04;3.16;3.23;5.5;
2019-09-05;3.16;3.23;5.5;
2019-09-06;3.16;3.25;5.9;
2019-09-09;3.14;3.3;5.9;
2019-09-10;3.14;3.28;5.9;
2019-09-11;3.14;3.28;5.9;
2019-09-12;3.12;3.25;5.9;
2019-09-13;3.09;3.3;5.9;
2019-09-16;3.11;3.37;5.9;
2019-09-17;3.09;3.37;5.9;
2019-09-18;3.09;3.36;5.9;
2019-09-19;3.12;3.3;5.9;
2019-09-20;3.12;3.28;5.9;
2019-09-23;3.12;3.26;5.9;
2019-09-24;3.12;3.3;5.9;
2019-09-25;3.12;3.28;5.2;
2019-09-26;3.14;3.27;5.2;
2019-09-27;3.16;3.25;5.2;
2019-09-30;3.24;3.24;5.2;
2019-10-01;3.31;3.24;5.2;
2019-10-02;3.25;3.24;5.2;
2019-10-03;3.25;3.24;5.2;
2019-10-04;3.15;3.25;5.2;
2019-10-07;3.12;3.25;5.2;
2019-10-09;3;3.25;5.2;
2019-10-10;3;3.22;5.2;
2019-10-11;3;3.21;5;
2019-10-14;3;3.3;5;
2019-10-15;3;3.25;5;
2019-10-16;3.03;3.28;5;
2019-10-17;3.03;3.28;5;
2019-10-18;3.03;3.25;5.2;
2019-10-21;3.03;3.3;5.2;
2019-10-22;2.96;3.32;5.2;
2019-10-23;2.96;3.33;5.2;
2019-10-24;2.96;3.34;5.2;
2019-10-25;2.96;3.36;5.2;
2019-10-28;2.94;3.4;5.2;
2019-10-29;2.98;3.45;5.2;
2019-10-30;2.98;3.5;5.2;
2019-10-31;2.97;3.5;5.2;
2019-11-04;2.97;3.5;5.2;
2019-11-05;3;3.5;5.2;
2019-11-06;3;3.48;5.1;
2019-11-07;3;3.48;5.1;
2019-11-08;3;3.45;5.1;
2019-11-11;2.8;3.44;5.1;
2019-11-12;2.7;3.5;5.05;
2019-11-13;2.8;3.45;5.05;
2019-11-14;2.69;3.44;5.05;
2019-11-15;2.51;3.44;5;
2019-11-18;2.51;3.44;5;
2019-11-19;2.6;3.44;5;
2019-11-20;2.59;3.4;5;
2019-11-21;2.6;3.4;5;
2019-11-22;2.6;3.4;5.1;
2019-11-25;2.6;3.36;5.1;
2019-11-26;2.6;3.35;5.1;
2019-11-27;2.6;3.35;5.1;
2019-11-28;2.51;3.35;5.3;
2019-11-29;2.51;3.35;5.3;
2019-12-02;2.6;3.36;5.3;
2019-12-03;2.6;3.36;5.3;
2019-12-04;2.6;3.37;5.55;
2019-12-05;2.52;3.36;5.55;
2019-12-06;2.52;3.37;5.55;
2019-12-09;2.6;3.4;5.55;
2019-12-10;2.7;3.4;5.7;
2019-12-11;2.7;3.4;5.7;
2019-12-12;2.8;3.37;5.7;
2019-12-13;2.8;3.37;5.7;
2019-12-16;2.8;3.37;5.7;
2019-12-17;2.8;3.37;5.7;
2019-12-18;2.8;3.35;5.7;
2019-12-19;2.8;3.35;5.7;
2019-12-20;2.8;3.38;5.7;
2019-12-23;2.8;3.38;5.7;
2019-12-24;2.9;3.42;5.7;
2019-12-26;3;3.42;5.7;
2019-12-27;3;3.5;5.7;
2019-12-30;3;3.5;5.7;
2019-12-31;3;3.5;5.7;
2020-01-02;3.03;3.43;5.7;
2020-01-03;3.03;3.45;5.7;
2020-01-06;3.15;3.45;5.7;
2020-01-07;3.1;3.45;5.9;
2020-01-08;3;3.42;5.9;
2020-01-09;3;3.45;5.9;
2020-01-10;3;3.45;5.9;
2020-01-13;2.9;3.45;5.9;
2020-01-14;3;3.4;5.9;
2020-01-15;3.1;3.45;5.9;
2020-01-16;3.1;3.44;6;
2020-01-17;3.05;3.42;6;
2020-01-20;2.98;3.43;6;
