Date;CASAGRC1;BBVAC1;GLORIA;
2020-11-18;5.08;2.13;6.45;
2020-11-19;5.2;2.14;6.45;
2020-11-20;5.4;2.15;6.45;
2020-11-23;5.32;2.15;6.45;
2020-11-24;5.12;2.14;6.45;
2020-11-25;5.12;2.24;6.45;
2020-11-26;5.12;2.25;6.45;
2020-11-27;5.2;2.24;6.45;
2020-11-30;5.05;2.26;6.45;
2020-12-01;5.51;2.3;6.45;
2020-12-02;5.91;2.34;6.45;
2020-12-03;6.1;2.3;6.45;
2020-12-04;6.11;2.32;6.45;
2020-12-07;6.12;2.3;6.45;
2020-12-09;6.2;2.3;6.45;
2020-12-10;5.8;2.32;6.6;
2020-12-11;5.77;2.3;7;
2020-12-14;5.99;2.28;7;
2020-12-15;5.99;2.28;7;
2020-12-16;5.55;2.28;7;
2020-12-17;5.5;2.25;7;
2020-12-18;5.5;2.23;7;
2020-12-21;5.5;2.2;7;
2020-12-22;5.5;2.17;7;
2020-12-23;5.5;2.19;7;
2020-12-24;5.38;2.2;7.4;
2020-12-28;5.38;2.17;7.4;
2020-12-29;5.38;2.17;7.4;
2020-12-30;5.38;2.17;7.4;
