;CASAGRC1;BBVAC1;GLORIA;
1/12/2020;5.51;2.3;6.45;
2/12/2020;5.91;2.34;6.45;
3/12/2020;6.1;2.3;6.45;
4/12/2020;6.11;2.32;6.45;
7/12/2020;6.12;2.3;6.45;
9/12/2020;6.2;2.3;6.45;
10/12/2020;5.8;2.32;6.6;
11/12/2020;5.77;2.3;7;
14/12/2020;5.99;2.28;7;
15/12/2020;5.99;2.28;7;
16/12/2020;5.55;2.28;7;
17/12/2020;5.5;2.25;7;
18/12/2020;5.5;2.23;7;
21/12/2020;5.5;2.2;7;
22/12/2020;5.5;2.17;7;
23/12/2020;5.5;2.19;7;
24/12/2020;5.38;2.2;7.4;
28/12/2020;5.38;2.17;7.4;
29/12/2020;5.38;2.17;7.4;
30/12/2020;5.38;2.17;7.4;
